X,Y,W,H,flag
62,1192,5,7,1
62,1785,4,5,1
62,2059,3,3,0
63,971,5,5,1
63,1454,4,6,1
64,1846,4,4,1
65,201,7,6,1
65,516,6,4,1
65,668,4,4,0
65,849,5,4,1
65,1342,4,4,0
65,1563,6,5,1
65,1649,4,5,0
65,1763,4,7,0
65,1929,4,3,1
65,2274,4,4,0
66,1401,4,5,1
66,1734,5,6,1
66,1797,4,7,1
66,1948,4,3,1
66,2177,3,3,1
67,706,3,4,0
67,727,3,3,0
67,1669,4,3,1
67,1753,7,6,1
67,1776,6,7,1
68,893,4,3,0
68,906,4,5,0
68,1129,4,5,1
68,1148,3,3,0
68,1237,3,4,0
68,1326,5,7,1
68,1504,4,5,1
68,1595,3,3,0
69,964,5,5,1
69,1089,3,5,1
69,1918,4,4,0
70,308,5,5,1
70,747,5,4,1
70,868,5,4,1
70,1219,3,3,1
70,1274,5,5,1
70,1655,5,6,1
70,1789,3,3,1
70,1893,5,5,1
70,2156,6,6,1
70,2199,4,4,0
71,1853,5,4,0
71,2211,5,4,0
72,841,5,4,1
72,853,3,3,1
72,1170,5,5,1
72,1357,3,4,0
72,1488,4,4,1
72,2024,6,5,1
72,2130,5,5,1
73,804,3,4,0
73,1101,5,5,1
73,1451,3,3,1
73,1695,5,8,1
73,1726,3,4,1
73,1948,3,3,1
73,2091,6,6,1
73,2114,5,5,1
73,2150,5,4,1
74,392,7,7,1
74,406,6,4,0
74,569,7,6,1
74,630,3,3,1
74,697,3,3,0
74,1205,4,4,1
74,1238,9,6,1
74,1308,4,4,1
74,1629,6,5,1
74,1887,5,5,0
74,2039,6,5,1
75,595,5,3,0
75,877,4,4,0
75,1152,4,5,1
75,1381,6,5,1
75,1399,4,3,1
75,1670,6,6,1
75,1863,5,4,0
75,2049,6,5,1
76,237,3,3,0
76,1318,4,4,0
76,1734,3,3,1
77,521,5,6,1
77,751,4,3,1
77,946,4,4,1
77,1085,4,4,1
77,1597,3,3,1
77,1800,7,5,1
77,1942,5,5,0
78,333,3,3,0
78,816,7,8,1
78,1050,5,4,0
78,1076,4,3,0
78,1223,4,6,1
78,1357,4,4,1
78,1578,6,5,1
78,1815,3,3,1
78,2259,6,8,1
79,1286,6,6,1
79,1327,6,5,1
79,2126,4,4,1
80,957,3,3,0
80,1512,5,3,1
80,1779,6,5,1
80,2017,3,3,1
80,2176,3,4,0
81,588,5,3,0
81,935,3,3,0
81,1349,4,3,1
81,1366,3,3,1
81,1567,4,3,0
81,1617,3,4,1
81,2209,6,6,1
82,762,4,4,1
82,1068,5,5,1
82,1132,3,4,1
82,1146,5,5,0
82,1591,4,4,0
82,1851,5,5,0
82,1983,5,5,1
82,2033,4,4,0
82,2140,5,6,1
83,168,4,3,1
83,856,8,4,1
83,977,5,6,0
83,1162,5,7,0
83,1373,7,7,1
83,1914,3,3,1
83,1942,3,3,0
83,2160,3,3,1
84,1058,3,3,0
84,1637,6,7,1
84,1786,3,3,1
85,1222,5,5,0
85,1243,3,3,1
85,1296,6,5,1
85,1953,4,4,0
85,2055,4,5,1
85,2075,3,3,0
86,842,7,6,1
86,1129,6,5,1
86,1342,4,3,1
86,1428,5,7,1
86,2100,4,4,0
86,2106,4,5,1
87,431,4,3,0
87,441,5,5,0
87,615,4,8,1
87,698,4,4,1
87,1015,3,3,1
87,1366,3,3,1
87,1713,7,5,1
87,1972,6,5,1
87,2005,3,3,0
87,2061,3,4,1
88,1462,6,6,1
88,1544,4,5,0
88,2162,3,3,0
89,836,5,5,1
89,964,3,4,1
89,1507,4,4,1
89,1882,5,5,1
89,1904,3,3,1
89,2126,3,3,1
90,604,5,4,1
90,1142,3,4,0
90,1308,4,4,1
90,1610,7,5,1
90,1928,3,3,0
90,2175,6,10,1
91,1110,4,4,0
91,1644,4,3,1
91,1824,5,5,1
91,1875,4,3,1
92,331,9,8,1
92,588,3,4,1
92,730,5,5,1
92,1003,3,3,0
92,1948,4,4,0
92,2143,5,6,1
92,2242,4,3,1
93,123,6,5,0
93,315,4,3,1
93,664,4,4,1
93,989,5,4,1
93,1426,4,4,0
93,1810,4,4,1
93,2247,5,6,1
94,926,4,7,1
94,1047,4,4,1
94,1198,4,4,1
94,1419,3,3,1
94,1801,3,4,1
94,2223,5,5,1
95,805,4,4,1
95,938,3,4,0
95,1131,4,5,1
95,1176,4,6,0
95,1281,3,3,1
95,1443,5,5,1
95,1478,7,6,1
95,1563,4,4,1
95,1660,7,6,1
95,1708,6,6,1
95,2053,5,4,1
95,2255,3,3,1
96,963,3,3,0
96,1924,3,3,1
96,2075,4,5,0
96,2193,4,4,0
97,857,6,4,0
98,1528,5,5,1
98,1685,5,6,0
98,1702,4,5,1
98,1937,4,5,1
98,2003,7,8,1
98,2295,4,4,1
99,390,6,5,0
99,475,5,4,1
99,658,4,4,0
99,675,5,5,1
99,1754,4,4,1
99,1828,4,3,0
99,1901,3,3,0
99,2063,4,3,0
100,588,5,4,1
100,936,5,4,1
100,1009,3,4,1
100,1218,3,4,0
100,1355,3,3,1
100,1514,5,5,1
100,1799,3,3,1
100,1948,3,3,1
101,465,4,5,1
101,717,5,4,1
101,1211,5,5,1
101,1884,4,5,1
101,2118,6,7,1
101,2279,5,10,1
102,775,5,5,1
102,825,6,5,1
102,1914,4,4,1
102,2097,3,3,1
103,580,6,7,1
103,975,3,3,0
103,1443,8,8,1
103,1676,4,3,1
103,1956,4,4,0
103,1993,5,5,1
103,2294,5,5,0
104,1275,4,4,1
104,1313,5,5,0
104,1376,4,4,1
104,1395,3,3,1
104,1602,3,3,1
104,1612,7,4,1
104,2132,4,4,1
105,961,7,5,1
105,1101,3,3,0
105,1140,4,5,1
105,1625,3,4,1
105,1756,4,4,1
105,1782,7,7,1
105,1864,5,5,1
105,2022,6,6,1
105,2109,4,4,1
105,2156,3,4,0
106,400,5,5,1
106,897,4,4,1
106,924,5,7,1
106,1545,3,3,0
106,1771,6,5,1
106,1806,3,3,0
106,1905,3,3,1
106,1946,3,4,1
106,2069,3,4,1
106,2231,3,3,0
107,753,3,4,0
107,906,4,4,1
107,940,3,3,0
107,1335,5,5,1
107,1620,3,3,1
108,447,9,6,1
108,1028,4,4,0
108,1195,4,3,0
108,1241,3,3,0
108,1645,4,5,1
108,2052,3,3,1
108,2084,5,5,1
108,2192,4,4,1
109,883,3,4,1
109,1061,7,7,1
109,1594,4,3,1
109,1936,5,4,1
110,814,7,4,1
110,911,6,7,1
110,1045,4,4,1
110,1430,4,4,1
110,1565,4,3,0
110,1683,4,4,0
110,2203,10,9,0
111,350,4,4,1
111,871,5,6,1
111,1226,4,4,1
111,1321,3,4,1
111,1924,4,3,0
112,517,4,4,0
112,855,6,6,0
112,1170,3,3,0
112,2100,8,5,0
113,649,4,7,1
113,1468,6,6,1
113,1712,6,10,1
113,1757,3,4,1
113,1791,3,3,1
113,1827,7,4,1
113,1879,4,6,1
113,2038,5,6,1
113,2241,3,3,0
114,500,3,3,1
114,678,3,4,0
114,1369,4,4,1
114,1393,4,4,0
114,1518,3,4,0
114,1578,6,6,1
114,1674,3,3,1
114,1817,9,6,1
114,1887,3,3,1
114,1985,7,6,1
115,187,3,3,1
115,247,5,5,0
115,548,4,6,0
115,709,5,4,1
115,1091,4,4,1
116,890,3,3,1
116,1081,3,3,0
116,1532,5,5,1
116,1554,5,6,1
116,1622,3,3,1
116,1998,3,4,0
116,2221,3,5,1
116,2279,4,4,0
117,150,3,4,0
117,327,5,8,0
117,661,6,6,0
117,738,4,4,0
117,1008,4,4,1
117,1139,4,5,1
117,1408,3,3,0
117,1439,9,6,1
117,1447,3,3,0
117,1590,4,3,1
117,1924,3,3,0
117,2006,5,4,0
117,2246,5,5,0
117,2260,3,5,1
118,625,3,3,1
118,781,7,8,1
118,961,3,3,1
118,990,3,3,0
118,1293,3,4,0
118,1507,4,4,1
118,1540,3,3,0
118,1679,3,3,0
118,1695,3,6,1
118,1785,3,3,0
118,1960,5,5,1
118,2063,5,5,1
118,2156,3,3,1
119,604,3,4,1
119,805,3,3,0
119,948,4,4,0
119,1115,5,5,1
119,1167,4,4,0
119,1272,5,5,1
119,1871,5,4,0
119,2110,4,4,1
120,223,4,4,0
120,637,8,6,1
120,954,4,4,1
120,1280,4,4,0
120,1882,4,3,1
120,1968,3,4,1
121,719,7,6,1
121,1047,5,4,1
121,1196,3,3,1
121,1623,3,3,1
121,1859,4,4,0
122,530,5,5,0
122,1387,9,5,1
122,1496,3,3,1
122,1842,5,6,1
122,1902,6,6,1
122,2141,4,5,1
123,394,4,4,0
123,970,10,5,1
123,997,7,7,1
123,1201,4,4,1
123,1380,3,3,1
124,805,4,3,1
124,898,4,4,1
124,1127,6,6,1
124,1312,7,10,1
124,1329,4,3,0
124,1890,3,3,1
124,2195,3,5,0
125,407,5,4,0
125,438,7,6,1
125,1145,3,3,0
125,1225,4,4,1
125,1716,4,4,0
125,1916,4,4,1
125,2291,4,4,1
126,700,3,3,0
126,826,3,3,1
126,1524,3,3,0
126,1547,4,4,0
126,1560,5,5,0
126,1572,3,3,1
126,1658,7,8,1
126,1678,3,3,0
126,1775,6,6,1
126,1826,9,6,1
126,1931,5,5,1
126,2114,4,6,1
127,330,10,6,1
127,777,3,3,1
127,903,5,4,1
127,1801,4,3,0
127,2175,5,5,1
128,482,4,4,0
128,1158,3,7,0
128,1197,3,3,1
128,1208,4,5,0
128,1701,5,4,1
128,2063,5,5,1
129,468,7,5,1
129,1255,3,3,0
129,1362,4,4,1
129,2015,6,5,1
129,2225,5,4,1
130,1536,6,6,1
130,1808,4,4,0
130,1947,3,3,0
131,926,4,4,0
131,988,5,6,1
131,1376,7,6,1
131,1554,3,3,1
131,1695,3,4,1
131,1922,4,4,1
131,2236,8,4,1
132,164,5,5,1
132,292,5,4,1
132,1969,4,3,0
132,2028,4,3,0
133,665,5,6,1
133,1127,5,5,0
133,1567,4,4,1
133,1770,7,7,1
133,2088,6,6,1
133,2123,6,6,1
134,549,5,6,0
134,1070,4,4,0
134,1243,5,4,1
134,1389,3,4,1
134,1589,3,3,0
134,2206,4,3,1
135,140,5,5,0
135,488,6,5,1
135,675,4,4,1
135,819,4,5,1
135,1672,4,3,0
135,1740,6,6,1
135,1912,4,4,1
135,2158,3,3,1
135,2171,4,4,0
135,2217,3,3,1
135,2270,4,3,0
136,620,4,3,1
136,635,4,3,0
136,708,5,5,1
136,786,5,4,0
136,1222,3,3,0
136,1283,7,8,1
136,1799,4,3,0
136,1982,3,4,0
136,2034,4,4,1
136,2263,4,4,1
137,602,5,5,1
137,1184,3,5,1
137,1263,5,5,0
137,1625,4,5,0
137,1644,3,3,1
137,1686,7,7,1
137,1789,3,3,1
137,1994,4,3,1
137,2004,6,6,1
138,1604,5,5,1
138,1618,5,5,0
138,2060,4,3,0
139,958,4,4,0
139,1487,4,5,1
139,1560,3,4,1
139,1748,4,4,0
139,2074,5,4,1
140,33,3,5,0
140,1007,9,7,1
140,1233,5,6,1
140,1318,3,3,0
140,1389,4,3,0
140,1729,5,4,0
141,840,4,4,0
141,1330,4,6,0
141,1415,5,4,1
141,2138,5,5,1
141,2222,3,3,1
142,752,5,5,0
142,830,3,4,0
142,880,3,4,1
142,1127,4,4,1
143,1078,5,6,0
143,1182,3,3,0
143,1310,3,5,1
143,1788,7,5,1
143,1977,3,3,0
143,2208,3,4,1
144,111,5,5,0
144,450,3,4,0
144,495,7,7,1
144,664,6,5,0
145,531,5,5,1
145,1143,4,3,1
145,1246,6,5,1
145,1480,4,4,1
145,1702,5,7,1
145,1985,3,3,0
146,932,3,3,0
146,1203,3,3,1
146,1283,6,5,1
146,1347,7,6,0
146,1455,3,3,1
146,1551,3,6,1
146,1649,4,4,1
146,2054,3,4,1
146,2095,5,5,1
147,1163,4,3,1
147,1240,3,3,1
147,1331,4,3,1
147,1834,5,6,0
147,2122,5,6,0
147,2265,4,5,1
147,2295,3,3,0
148,415,3,3,1
148,614,3,3,1
148,1151,7,4,0
148,1305,6,6,1
148,1412,7,7,1
148,1512,6,5,0
148,1526,4,5,1
148,1676,4,5,1
148,1822,4,3,0
148,2155,6,6,1
148,2284,4,5,0
149,775,4,3,1
149,826,3,3,0
149,1263,4,3,0
149,1601,5,4,1
149,1779,5,5,1
149,1882,5,5,1
149,1892,6,4,0
149,1990,5,6,1
149,2016,6,9,1
149,2048,4,5,1
149,2216,6,4,0
150,130,4,5,0
150,487,3,4,1
150,874,5,5,1
150,1079,6,5,1
150,1222,4,5,1
150,1798,3,4,1
150,2145,5,4,0
150,2178,3,4,0
151,649,3,3,0
151,1063,3,3,1
151,1382,6,8,1
151,1434,5,5,1
151,1549,4,3,0
152,567,4,6,0
152,1946,5,6,1
152,2187,6,6,1
153,366,3,3,0
153,1022,7,6,1
153,1294,3,3,1
153,1562,5,5,1
153,1576,5,7,1
153,1637,6,5,1
153,1974,3,3,1
154,190,3,3,0
154,538,6,6,1
154,798,3,4,0
154,1114,4,4,1
154,1483,4,4,1
154,1858,5,5,1
154,2074,4,5,1
155,839,5,4,1
155,926,3,3,0
155,975,3,3,1
155,1043,4,4,0
155,1272,3,3,0
155,1963,3,3,0
155,2229,4,4,1
156,641,4,4,1
156,817,3,4,0
156,987,5,9,1
156,1001,3,3,1
156,1090,5,10,1
156,1503,3,7,0
156,1717,3,3,1
156,2048,5,5,1
157,169,6,4,0
157,490,5,4,0
157,950,4,5,0
157,1277,6,5,1
157,1703,3,3,0
157,1748,4,4,0
157,2066,5,4,1
157,2265,4,5,1
158,1063,3,4,1
158,1209,4,4,1
158,1670,5,6,1
158,2020,4,4,1
158,2259,4,4,1
159,458,7,7,1
159,1166,5,6,0
159,1737,3,3,0
159,1756,5,5,1
159,1782,3,4,0
159,2041,4,4,1
159,2098,3,3,1
159,2121,6,6,1
159,2139,6,6,1
160,719,3,3,1
160,751,6,6,0
160,1153,3,3,0
160,1570,3,3,0
160,2164,4,4,1
161,653,4,4,0
161,1222,3,4,0
161,1517,4,4,1
161,1585,3,5,0
161,1662,3,3,1
161,1729,4,4,1
161,1891,8,5,1
161,2005,3,4,1
161,2111,4,5,0
161,2197,3,3,1
161,2250,5,5,1
162,99,4,3,0
162,676,5,4,1
162,890,6,6,0
162,1183,4,3,0
162,1229,6,5,0
162,1444,6,6,1
162,1604,7,8,1
162,1824,5,6,1
163,230,3,3,1
163,918,5,4,1
163,2083,3,4,1
163,2173,3,4,1
164,386,3,4,0
164,697,6,5,1
164,1098,5,3,1
164,1117,4,5,1
164,1843,5,4,1
164,1969,5,6,1
164,2022,5,5,0
165,343,3,4,1
165,1366,4,3,0
165,1498,6,6,1
165,1645,6,6,1
165,1677,4,3,0
165,1959,3,3,1
165,2207,6,5,1
165,2266,3,4,1
166,713,4,3,1
166,1152,3,3,1
166,1395,5,4,1
166,1711,3,3,1
166,2189,8,6,1
166,2288,5,5,0
167,1007,7,6,1
167,1168,4,4,0
167,1331,5,6,1
167,1553,5,6,0
167,1835,5,5,1
167,1907,3,3,1
167,2046,3,3,0
167,2112,10,7,1
167,2150,7,4,1
168,281,5,4,0
168,1574,3,4,1
168,2011,4,4,0
168,2219,4,4,1
169,1212,5,6,1
169,1819,4,4,1
169,2074,4,4,0
170,1154,6,6,1
170,1241,3,3,0
170,1512,4,3,1
170,1538,5,4,1
170,1864,3,3,1
170,1918,5,5,1
170,2173,8,6,1
170,2234,3,3,1
171,823,4,6,1
171,1021,5,4,0
171,1875,4,5,1
172,1317,7,6,1
173,697,3,3,1
173,755,5,4,1
173,904,5,4,1
173,1525,3,4,1
173,1562,3,3,1
173,1965,5,5,1
173,2024,4,3,1
173,2087,5,6,0
174,143,6,5,1
174,530,3,3,0
174,1245,4,4,1
174,1645,3,4,0
174,1760,5,5,1
174,1996,6,4,0
174,2266,5,5,1
175,1958,3,4,1
175,2123,6,6,1
176,583,4,4,1
176,871,4,4,1
176,897,6,6,1
176,954,5,5,1
176,1366,7,6,1
176,1505,4,4,0
176,1600,3,4,0
176,2197,3,3,1
177,1129,3,3,0
177,1494,4,4,1
177,1664,5,5,1
177,1797,3,3,1
177,2039,4,4,0
178,271,4,4,0
178,620,3,4,0
178,997,3,3,0
178,1039,5,4,0
178,1403,4,6,1
179,251,4,3,0
179,703,3,3,0
179,769,3,3,1
179,961,4,5,1
179,1202,5,4,0
179,1519,7,7,1
179,1734,3,3,0
179,1749,4,4,1
179,1834,7,8,1
179,1989,6,5,1
179,2018,3,3,0
179,2217,4,3,1
180,384,6,5,1
180,408,4,4,1
180,1268,5,5,1
180,1290,6,5,0
180,1962,4,5,1
180,2073,7,6,1
181,440,6,6,0
181,740,3,4,1
181,857,5,4,0
181,1048,4,4,1
181,1058,8,7,1
181,1575,3,4,1
181,1653,5,5,0
181,1687,4,4,1
181,1855,5,6,1
181,2004,6,6,1
181,2166,4,3,0
182,541,3,4,0
182,557,3,4,1
182,1443,6,6,1
182,1888,5,5,1
182,2054,3,3,1
183,280,5,5,0
183,633,3,3,0
183,1613,5,4,1
183,1814,3,4,1
183,2126,4,5,1
183,2274,4,5,1
183,2287,3,3,1
184,128,6,6,0
184,1278,7,6,1
184,1501,4,5,1
184,1917,4,8,1
185,925,4,4,0
185,1332,4,4,0
185,1422,3,3,1
185,1630,4,4,1
185,1747,5,5,1
185,1848,3,4,1
185,2013,3,4,1
185,2057,9,6,1
185,2102,5,6,1
186,813,5,5,1
186,934,7,6,1
186,1698,4,4,1
186,1729,9,5,1
186,1761,4,4,0
186,2139,7,7,1
186,2243,8,5,1
187,645,5,4,1
187,672,3,3,1
187,1115,5,5,1
187,1153,8,5,1
187,1183,3,4,1
187,1190,3,4,0
187,1214,3,3,1
187,1354,4,6,1
187,1574,4,8,1
187,1719,7,7,1
187,1908,4,3,1
187,1976,3,3,0
187,2039,3,4,0
187,2089,3,3,0
187,2220,3,3,1
188,827,4,3,0
188,980,4,4,0
188,1081,4,3,0
188,1707,10,5,0
188,2197,4,5,0
189,685,4,4,0
189,1241,6,5,1
189,1324,5,4,1
189,1403,5,5,1
189,1654,4,4,1
189,1680,6,5,0
189,2297,4,4,0
190,948,3,3,0
190,1029,3,4,1
191,16,6,6,1
191,60,5,5,1
191,253,3,4,0
191,404,4,5,1
191,722,3,4,1
191,1091,6,5,1
191,1505,5,6,1
191,1563,5,5,1
191,1628,3,3,0
191,2184,5,5,1
192,1638,5,4,0
192,1843,5,6,1
192,2071,3,4,0
193,1467,5,9,1
193,1746,5,6,1
193,1864,3,4,1
193,1888,5,4,1
193,1930,4,5,1
193,2012,3,3,1
194,176,5,4,0
194,1367,5,3,1
194,1546,4,3,1
194,1612,7,7,1
195,425,5,4,1
195,570,7,7,1
195,661,4,3,0
195,745,4,4,1
195,906,3,3,1
195,1230,3,3,1
195,2026,4,5,1
195,2230,3,3,1
196,1035,4,4,1
196,1417,3,4,1
196,1440,7,7,1
196,1667,4,4,1
196,1794,5,4,1
196,1947,6,5,1
196,2003,3,3,1
196,2032,5,5,1
196,2159,4,4,1
197,508,3,3,0
197,550,4,4,0
197,784,4,4,1
197,985,4,4,1
197,1107,5,5,1
198,370,4,4,0
198,1903,4,3,0
198,1912,3,3,0
198,2009,4,4,1
199,321,5,4,0
199,589,4,3,1
199,849,3,3,1
199,972,4,3,0
199,1204,3,3,0
199,1346,3,4,1
199,1519,4,5,1
199,1760,6,6,1
199,2017,5,4,1
199,2099,7,7,1
199,2179,4,3,0
200,343,5,5,1
200,752,5,3,1
200,1151,6,6,1
200,2195,5,8,1
200,2284,3,3,0
201,674,6,6,1
201,821,4,4,0
201,1232,7,9,1
201,1245,4,3,0
201,1412,3,3,1
201,1483,4,5,1
201,1722,4,4,1
201,2081,5,5,1
202,698,3,3,0
202,1002,3,3,1
202,1126,5,4,1
202,1174,4,4,1
202,1182,3,3,0
202,1562,4,4,0
202,1681,3,3,1
202,2140,3,3,1
202,2205,5,6,1
203,896,4,4,1
203,935,5,5,0
203,1019,3,3,1
203,1162,6,6,1
203,1538,8,5,1
203,1647,4,3,0
203,1889,4,5,1
203,1960,4,4,1
204,17,5,5,1
204,587,4,4,1
204,1201,5,5,1
204,1287,8,5,1
